position,salary,hours,years,type_job,salary_millions,Salary_per_hour,year_cut_in_10
TRABAJADOR OPERATIVO C,1219781.0,Full time,9,ADMINISTRATIVO,1.219781,7017.915005845476,10 años
TRABAJADOR OPERATIVO C,1219781.0,Full time,9,ADMINISTRATIVO,1.219781,7017.915005845476,10 años
TRABAJADOR OPERATIVO B,811615.0,Full time,9,ADMINISTRATIVO,0.811615,4669.563706492621,10 años
PROFESOR INSTRUCTOR                    ,182013.45,1/8  of time,9,PUESTO NO ADMINISTRATIVO ,0.18201345000000002,8377.601697489667,10 años
PERSONAL EXTRAORDINARIO 1,332590.0,Full time,9,PUESTO NO ADMINISTRATIVO ,0.33259,1913.530668041351,10 años
TECNICO ASISTENCIAL B,545105.0,Full time,2,ADMINISTRATIVO,0.545105,3136.219173164198,10 años
TECNICO ESPECIALIZADO D,1159034.0,Full time,9,ADMINISTRATIVO,1.159034,6668.411871381097,10 años
TRABAJADOR OPERATIVO C,1061183.0,Full time,8,ADMINISTRATIVO,1.061183,6105.433762001638,10 años
PROFESOR INTERINO LICENCIADO           ,1117841.45,7/8 of time,6,PUESTO NO ADMINISTRATIVO ,1.11784145,7350.187134164543,10 años
TRABAJADOR OPERATIVO A,791802.0,Full time,9,ADMINISTRATIVO,0.791802,4555.571153722233,10 años
PROFESOR INTERINO LICENCIADO           ,1434840.0,Full time,9,PUESTO NO ADMINISTRATIVO ,1.43484,8255.240216881,10 años
TECNICO ESPECIALIZADO B,984446.0,Full time,9,ADMINISTRATIVO,0.984446,5663.933407590835,10 años
PROFESOR INTERINO LICENCIADO           ,964179.6,7/8 of time,4,PUESTO NO ADMINISTRATIVO ,0.9641796,6339.808289399105,10 años
PROFESOR INTERINO LICENCIADO           ,1555103.0,Full time,8,PUESTO NO ADMINISTRATIVO ,1.555103,8947.164023160974,10 años
PROFESOR INTERINO LICENCIADO           ,54097.45,1/8  of time,3,PUESTO NO ADMINISTRATIVO ,0.05409745,2489.963730426857,10 años
TRABAJADOR OPERATIVO A,791802.0,Full time,9,ADMINISTRATIVO,0.791802,4555.571153722233,10 años
PROFESIONAL B,1200317.0,Full time,9,ADMINISTRATIVO,1.200317,6905.930397400373,10 años
TRABAJADOR OPERATIVO B,811615.0,Full time,9,ADMINISTRATIVO,0.811615,4669.563706492621,10 años
PROFESIONAL B,1882734.0,Full time,9,ADMINISTRATIVO,1.882734,10832.163470832451,10 años
PROFESOR INTERINO LICENCIADO           ,1141849.0,Full time,7,PUESTO NO ADMINISTRATIVO ,1.141849,6569.539311982767,10 años
TECNICO ESPECIALIZADO B,984446.0,Full time,9,ADMINISTRATIVO,0.984446,5663.933407590835,10 años
PROFESOR INSTRUCTOR                    ,486342.1,3/8 of time,8,PUESTO NO ADMINISTRATIVO ,0.4863421,7461.683742823563,10 años
PROFESOR INTERINO LICENCIADO           ,717247.8,Full time,4,PUESTO NO ADMINISTRATIVO ,0.7172478000000001,4126.629369148769,10 años
PROFESOR INTERINO LICENCIADO           ,570924.5,Part Time,7,PUESTO NO ADMINISTRATIVO ,0.5709245,6569.539311982767,10 años
TECNICO ASISTENCIAL B,901782.0,Full time,9,ADMINISTRATIVO,0.901782,5188.332520183004,10 años
PROFESIONAL B,1475752.0,Full time,5,ADMINISTRATIVO,1.475752,8490.62422328801,10 años
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 of  time,2,PUESTO NO ADMINISTRATIVO ,0.1476606,3398.2150583166867,10 años
PROFESOR INSTRUCTOR                    ,713733.0,Part Time,10,PUESTO NO ADMINISTRATIVO ,0.713733,8212.814482053926,10 años
TRABAJADOR OPERATIVO B,692683.0,Full time,8,ADMINISTRATIVO,0.692683,3985.2977050749782,10 años
PROFESOR INSTRUCTOR                    ,1446752.1,7/8 of time,8,PUESTO NO ADMINISTRATIVO ,1.4467521,9512.886350515571,10 años
PROFESOR VISITANTE,2265223.0,Full time,9,PUESTO NO ADMINISTRATIVO ,2.265223,13032.784150012425,10 años
PROFESOR INSTRUCTOR                    ,586242.4,Part Time,8,PUESTO NO ADMINISTRATIVO ,0.5862424,6745.800001841095,10 años
TECNICO ASISTENCIAL B,901782.0,Full time,9,ADMINISTRATIVO,0.901782,5188.332520183004,10 años
PROFESOR EDUCACION SUPERIOR,218922.85,1/4 of  time,4,PUESTO NO ADMINISTRATIVO ,0.21892285,5038.222284614889,10 años
PROFESOR INTERINO LICENCIADO           ,230319.5,1/4 of  time,3,PUESTO NO ADMINISTRATIVO ,0.2303195,5300.501238136443,10 años
PROFESOR INTERINO LICENCIADO           ,231722.55,3/8 of time,4,PUESTO NO ADMINISTRATIVO ,0.23172255,3555.1937292301454,10 años
TECNICO ASISTENCIAL B,451738.5,Full time,3,ADMINISTRATIVO,0.4517385,2599.042285351327,10 años
PROFESOR INTERINO BACHILLER            ,64200.25,1/8  of time,0,PUESTO NO ADMINISTRATIVO ,0.06420025,2954.9691156299764,10 años
PROFESOR INTERINO LICENCIADO           ,653810.15,Full time,2,PUESTO NO ADMINISTRATIVO ,0.65381015,3761.645789415544,10 años
PROFESOR INTERINO BACHILLER            ,523873.9,Full time,2,PUESTO NO ADMINISTRATIVO ,0.5238739,3014.067692463477,10 años
PROFESOR INTERINO LICENCIADO           ,1305422.0,Full time,9,PUESTO NO ADMINISTRATIVO ,1.305422,7510.643830950648,10 años
TECNICO ESPECIALIZADO B,1086043.0,Full time,9,ADMINISTRATIVO,1.086043,6248.463836289824,10 años
PROFESOR INTERINO LICENCIADO           ,616662.3,3/4 of time,2,PUESTO NO ADMINISTRATIVO ,0.6166623,4730.558035919765,10 años
TECNICO ASISTENCIAL B,937083.0,Full time,9,ADMINISTRATIVO,0.937083,5391.434074987802,10 años
PROFESIONAL A,923781.0,Full time,4,ADMINISTRATIVO,0.923781,5314.902053741565,10 años
PROFESOR INTERINO LICENCIADO           ,775928.6,Full time,5,PUESTO NO ADMINISTRATIVO ,0.7759286,4464.244782796807,10 años
TECNICO ASISTENCIAL B,901782.0,Full time,9,ADMINISTRATIVO,0.901782,5188.332520183004,10 años
